dep;week;P;T;cl_age90
05;2020-S23;0;18;19
05;2020-S23;0;28;29
05;2020-S23;0;28;39
05;2020-S23;0;32;49
05;2020-S23;0;28;59
05;2020-S23;0;50;69
05;2020-S23;0;36;79
05;2020-S23;1;32;89
05;2020-S23;1;7;90
05;2020-S23;2;272;0
05;2020-S24;0;13;09
05;2020-S24;0;16;19
05;2020-S24;0;27;29
05;2020-S24;0;38;39
05;2020-S24;0;44;49
05;2020-S24;0;33;59
05;2020-S24;1;36;69
05;2020-S24;0;37;79
05;2020-S24;0;23;89
05;2020-S24;0;7;90
05;2020-S24;1;274;0
05;2020-S25;0;10;09
05;2020-S25;0;18;19
05;2020-S25;0;33;29
05;2020-S25;0;38;39
05;2020-S25;0;47;49
05;2020-S25;0;46;59
05;2020-S25;0;39;69
05;2020-S25;0;40;79
05;2020-S25;0;42;89
05;2020-S25;0;11;90
05;2020-S25;0;324;0
05;2020-S26;0;19;09
05;2020-S26;0;29;19
05;2020-S26;0;33;29
05;2020-S26;0;43;39
05;2020-S26;0;39;49
05;2020-S26;0;46;59
05;2020-S26;0;58;69
05;2020-S26;0;52;79
05;2020-S26;0;36;89
05;2020-S26;0;14;90
05;2020-S26;0;369;0
05;2020-S27;0;27;09
05;2020-S27;0;30;19
05;2020-S27;1;34;29
05;2020-S27;0;36;39
05;2020-S27;0;39;49
05;2020-S27;0;39;59
05;2020-S27;0;70;69
05;2020-S27;0;60;79
05;2020-S27;0;34;89
05;2020-S27;0;16;90
05;2020-S27;1;385;0
05;2020-S28;0;37;09
05;2020-S28;0;36;19
05;2020-S28;0;41;29
05;2020-S28;0;56;39
05;2020-S28;0;55;49
05;2020-S28;0;60;59
05;2020-S28;0;67;69
05;2020-S28;0;41;79
05;2020-S28;0;33;89
05;2020-S28;0;13;90
05;2020-S28;0;439;0
05;2020-S29;0;30;09
05;2020-S29;0;53;19
05;2020-S29;0;56;29
05;2020-S29;0;74;39
05;2020-S29;1;49;49
05;2020-S29;0;61;59
05;2020-S29;0;91;69
05;2020-S29;0;60;79
05;2020-S29;0;44;89
05;2020-S29;0;11;90
05;2020-S29;1;529;0
05;2020-S30;0;32;09
05;2020-S30;0;67;19
05;2020-S30;0;67;29
05;2020-S30;0;96;39
05;2020-S30;0;62;49
05;2020-S30;1;77;59
05;2020-S30;0;95;69
05;2020-S30;0;63;79
05;2020-S30;0;46;89
05;2020-S30;0;17;90
05;2020-S30;1;622;0
05;2020-S31;0;33;09
05;2020-S31;0;53;19
05;2020-S31;0;79;29
05;2020-S31;0;79;39
05;2020-S31;0;83;49
05;2020-S31;1;78;59
05;2020-S31;0;82;69
05;2020-S31;0;73;79
05;2020-S31;0;60;89
05;2020-S31;0;21;90
05;2020-S31;1;641;0
05;2020-S32;1;23;09
05;2020-S32;0;67;19
05;2020-S32;5;78;29
05;2020-S32;2;80;39
05;2020-S32;3;89;49
05;2020-S32;2;90;59
05;2020-S32;0;95;69
05;2020-S32;0;70;79
05;2020-S32;2;43;89
05;2020-S32;0;15;90
05;2020-S32;15;650;0
05;2020-S33;2;32;09
05;2020-S33;1;64;19
05;2020-S33;4;106;29
05;2020-S33;5;106;39
05;2020-S33;3;103;49
05;2020-S33;3;133;59
05;2020-S33;3;75;69
05;2020-S33;0;52;79
05;2020-S33;0;49;89
05;2020-S33;0;22;90
05;2020-S33;21;742;0
05;2020-S34;0;22;09
05;2020-S34;3;94;19
05;2020-S34;1;129;29
05;2020-S34;5;117;39
05;2020-S34;4;135;49
05;2020-S34;3;127;59
05;2020-S34;0;119;69
05;2020-S34;2;88;79
05;2020-S34;1;67;89
